date,category,buy_value,sell_value,net_value,category,buy_value,sell_value,net_value
29-04-2026,DII,17232.28,-14970.11,2262.17,FII/FPI,14271.22,-16739.64,-2468.42
12-05-2026,DII,20684.82,-12694.5,7990.32,FII/FPI,16555.27,-18514.66,-1959.39
13-05-2026,DII,18872.65,-13003.6,5869.05,FII/FPI,14373.99,-19077.14,-4703.15
14-05-2026,DII,18255.96,-17571.63,684.33,FII/FPI,17350.56,-17163.1,187.46
15-05-2026,DII,14961.88,-16920.7,-1958.82,FII/FPI,16299.6,-14970.43,1329.17
18-05-2026,DII,16844.94,-14162.82,2682.12,FII/FPI,17222.18,-14408.49,2813.69
19-05-2026,DII,16951.95,-13150.27,3801.68,FII/FPI,17907.55,-20365.04,-2457.49
20-05-2026,DII,16000.79,-14032.44,1968.35,FII/FPI,14139.56,-15736.91,-1597.35
21-05-2026,DII,15857.03,-13364.61,2492.42,FII/FPI,12322.16,-14213.37,-1891.21
22-05-2026,DII,18436.72,-12433.19,6003.53,FII/FPI,10972.76,-15413.23,-4440.47
25-05-2026,DII,16434.96,-12578.08,3856.88,FII/FPI,12083.12,-11261.37,821.75
26-05-2026,DII,15536.74,-14175.31,1361.43,FII/FPI,13127.02,-15534.89,-2407.87
27-05-2026,DII,16893.1,-13072.1,3821,FII/FPI,11418.65,-12461.35,-1042.7
29-05-2026,DII,36999.7,-20235.56,16764.14,FII/FPI,89733.64,-110839.5,-21105.86
01-06-2026,DII,15226.29,-10117.16,5109.13,FII/FPI,17725.89,-21637.57,-3911.68
02-06-2026,DII,22508.77,-12919.45,9589.32,FII/FPI,16955.9,-25318.82,-8362.92
03-06-2026,DII,17530,-11789.11,5740.89,FII/FPI,17053.63,-22670.19,-5616.56
04-06-2026,DII,16824.35,-12464.21,4360.14,FII/FPI,14012.52,-18459.58,-4447.06
05-06-2026,DII,22779.32,-13645.75,9133.57,FII/FPI,11044.57,-19820.82,-8776.25
08-06-2026,DII,16683.18,-11517.94,5165.24,FII/FPI,8842.08,-14397.75,-5555.67
09-06-2026,DII,17664.98,-11505.5,6159.48,FII/FPI,14735.47,-19301.5,-4566.03
10-06-2026,DII,17396.4,-14272.45,3123.95,FII/FPI,14047.79,-16172.77,-2124.98
11-06-2026,DII,16822.57,-12598.06,4224.51,FII/FPI,14000.58,-15987.67,-1987.09
12-06-2026,DII,18877.03,-13535.74,5341.29,FII/FPI,12064.61,-13146.79,-1082.18
15-06-2026,DII,21080.9,-17891.64,3189.26,FII/FPI,15650.2,-15450.15,200.05
16-06-2026,DII,13553.36,-13553.3,0.06,FII/FPI,13887.15,-14636.33,-749.18
17-06-2026,DII,16611.87,-15050.47,1561.4,FII/FPI,14806.3,-14704.71,101.59
18-06-2026,DII,16163.18,-12646.37,3516.81,FII/FPI,14611.83,-15637.03,-1025.2
19-06-2026,DII,18020.49,-19180.13,-1159.64,FII/FPI,31442.87,-26583.8,4859.07
22-06-2026,DII,17391.78,-16356.06,1035.72,FII/FPI,10082.08,-10717.99,-635.91
23-06-2026,DII,16863.04,-16182.83,680.21,FII/FPI,15396.07,-15378.21,17.86
24-06-2026,DII,17274.01,-13636.75,3637.26,FII/FPI,16744.73,-18588.13,-1843.4
25-06-2026,DII,24844.03,-19096.28,5747.75,FII/FPI,18988.03,-18604.27,383.76
29-06-2026,DII,55273.85,-52472.4,2801.45,FII/FPI,24754.26,-26104.36,-1350.1
30-06-2026,DII,23432.58,-16590.24,6842.34,FII/FPI,23273.71,-25830.46,-2556.75
01-07-2026,DII,17136.57,-13977.33,3159.24,FII/FPI,11623.31,-12763.81,-1140.5
02-07-2026,DII,17391.61,-15607.21,1784.4,FII/FPI,14018.4,-14330.22,-311.82
03-07-2026,DII,18676.35,-20630.24,-1953.89,FII/FPI,13337.33,-11982,1355.33
06-07-2026,DII,19727.56,-15936.14,3791.42,FII/FPI,11686.1,-11443.07,243.03
07-07-2026,DII,18897.44,-19280.87,-383.43,FII/FPI,18414.01,-18020.82,393.19
08-07-2026,DII,19165.13,-18374.97,790.16,FII/FPI,17463.95,-15501.15,1962.8
09-07-2026,DII,18302.87,-16245.08,2057.79,FII/FPI,14388.41,-14921.27,-532.86
10-07-2026,DII,17171.75,-15152.07,2019.68,FII/FPI,15318.07,-12714.35,2603.72
13-07-2026,DII,17393.46,-15221.76,2171.7,FII/FPI,10386.48,-13448.75,-3062.27
14-07-2026,DII,20420.87,-17493.16,2927.71,FII/FPI,12763.43,-13503.12,-739.69
15-07-2026,DII,16226.42,-15521.49,704.93,FII/FPI,13207.46,-13943.29,-735.83
16-07-2026,DII,19236.8,-16250.39,2986.41,FII/FPI,13576.08,-17781.64,-4205.56
17-07-2026,DII,17180.08,-16162.19,1017.89,FII/FPI,14393.77,-14770.18,-376.41
20-07-2026,DII,16187.84,-14875.81,1312.03,FII/FPI,13312.67,-14433.71,-1121.04
21-07-2026,DII,14638.54,-15295.42,-656.88,FII/FPI,16327.88,-14677.72,1650.16
22-07-2026,DII,13665.69,-14083.95,-418.26,FII/FPI,12889.82,-13709.02,-819.2
23-07-2026,DII,16575.3,-13628.16,2947.14,FII/FPI,11472.08,-14471.31,-2999.23
24-07-2026,DII,18959.43,-13505.88,5453.55,FII/FPI,11123.86,-15016.63,-3892.77
27-07-2026,DII,15937.1,-13607.96,2329.14,FII/FPI,11695.95,-13384.18,-1688.23
28-07-2026,DII,18256.88,-16592.72,1664.16,FII/FPI,17530.97,-16775.64,755.33
29-07-2026,DII,18176.22,-17178.2,998.02,FII/FPI,17358.31,-14376.44,2981.87
30-07-2026,DII,17979.63,-19843.66,-1864.03,FII/FPI,17431.96,-13808.45,3623.51
31-07-2026,DII,19885.8,17625.43,2260.37,FII/FPI,19045.51,18768.03,277.48
03-08-2026,DII,18325.97,16754.79,1571.18,FII/FPI,12621.89,11699.63,922.26
